Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25743665432,25795152013,14703236741,11674370638,10343491314,7095635348,7861963432,9945383851,9756422685,9736909267,11041655408,12452435128,13723200267,15562176441,18573553147,18369202789,22334792976,23970997856,27926267663,25378672491,28481315594,33750359909,37429162981,35857139639,36576801981,32689583072,32231890793,35824302196,38439535329,40399951631,37410291944,39580079099
Belize,,,,,,,,,,,,,,,,,,,,,284755199.7,287619096,233518739.7,209660886.7,244165163.7,205948896.1,209855194.1,269221342,323456505.4,368189663.7,354772847,354759738.5,388790380.7,397116034.7,422210675.4,400184365,422268366.1,473429647.1,522877755.7,651519354.9,782415360.1,776144619.5,796502301.9,813350039.1,752659895,802756386.2,806457783,809329556.4,916095709,720559850.3,798735903.5,895865661,911500871.6,1007354285,1042453738,1142200000,1160387898,1153304190,1106462376,1144944139,895291306.3,990905711.9
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575610931,1552149000,1647976563,1594321050,1666243232,1686467355,1327781141,1439148165
Bolivia,1047127261,1108436756,1312801742,1414055068,1352953923,1786772052,1949126523,2118463981,2138540072,2166472024,2061727204,2350380111,2606384996,2658732816,2393109250,2858135465,2845002266,2820493128,2932772728,2898274959,2293223219,2481642657,1856127209,1611924488,2002615130,2418628210,2634947894,2838734355,2833741794,2842859692,3134065872,3528623287,3878804131,3850550739,3825729412,4166971436,4497839744,5106807077,6246174348,5175525960,5417218799,5144190048,5817822217,5871056736,6191937597,7107514011,7474289935,7801094017,8537099530,7665538910,8511895665,9959787672,10386156801,11235679200,12930333896,12231374703,11718553755,12372529359,12611660131,12803945181,9607693209,11115903800
Brazil,11180684748,10790654041,10660700915,10400708201,9100577213,7800446146,10270557771,11050610099,13650674532,15210780384,20787831593,24881000752,29888510734,35989176280,46153269434,44111454468,43598457844,40231564650,42002947708,45529935610,45842515687,40175776168,37763490527,31174706922,30244524775,30260802928,38922631636,37777164578,37357733888,40711264813,45166926207,50179001447,52448780510,66493192342,80022046266,1.04577E+11,1.10427E+11,1.26544E+11,1.26472E+11,1.07382E+11,1.18978E+11,1.22942E+11,1.06582E+11,1.06066E+11,1.17059E+11,1.25793E+11,1.48137E+11,1.77109E+11,2.07264E+11,1.91507E+11,2.55929E+11,2.79969E+11,2.83135E+11,3.02019E+11,2.95157E+11,2.53273E+11,2.27077E+11,2.42329E+11,2.61093E+11,2.64572E+11,2.38536E+11,2.68004E+11
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2234372971,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984517323,2340692575,2675638895,3321943687,3435951184,3183562089,3689126530,4469881583,3725294472,3224447534,3107294952,2913602473,3006342557,3407523934,3132392740,3034094283,3342774569,3479588548,3939392724,4371441947,4336374806,4324750776,5782885270,6973722692,7986637914,5518898378,4872585643,5004795905,5069165095,6492205884,7385925645,7234140022,9365593303
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151445562.7,186100356.7,256908379.6,116682525.7,123570727.6,154573170.7,188892428.7,226089457.2,283571078.3,337525585.9,351602085.9,382948001.9,448350612.6,502235935.6,645485367.1,729306978.1,713880460.6,792154147,813947134.1,930712790.5,1198163842,1269569722,1179118860,1158070846,1120172240,1271189006,1186979187,1182261562,1259958407,1181745482,1035416320,
Botswana,,,,,,,,,,,,,,,,553933854.7,615849573.7,676424933.4,774616704.7,869976425.3,925947023.6,970481377,965357760.5,959088361.1,1059528469,1140295631,1162973559,1319708529,1651705648,2027177811,2239426800,2113473616,1822809420,1772393378,1863133274,2107682799,2003665713,2702773587,3107039784,2995625445,2937617085,2892777941,2950664788,2735259983,3217147222,3058359101,3059709574,3823271837,4494008940,4004897360,4264440319,5084274641,6715195417,7387646632,7646475291,8092733735,6399596670,5570921936,6457632677,7228619433,7601290902,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501554355.1,557165331.9,542489309,569065192.3,348837121.4,554445768.1,611811302.1,643823483.1,747384813,706776609.5,741538474.4,748987681.8,671992302.1
Canada,,32674788156,33410753321,34000557151,38289101541,43404746972,49174679178,51870065545,57150787280,64769229966,63771893823,67989937453,77725139447,88927973009,97893678900,95045253581,1.0087E+11,1.00502E+11,1.03661E+11,1.11089E+11,1.07676E+11,1.09854E+11,92412845607,1.01751E+11,1.19439E+11,1.29306E+11,1.37803E+11,1.45245E+11,1.6489E+11,1.7447E+11,1.77855E+11,1.82322E+11,1.91672E+11,2.06015E+11,2.23107E+11,2.3601E+11,2.48664E+11,2.84371E+11,2.99437E+11,3.23557E+11,3.51018E+11,3.33795E+11,3.4001E+11,3.54403E+11,3.84549E+11,4.12811E+11,4.34775E+11,4.59882E+11,4.63999E+11,4.06488E+11,4.62536E+11,4.88411E+11,5.06524E+11,5.17046E+11,5.30132E+11,5.34115E+11,5.34386E+11,5.59114E+11,5.77863E+11,5.79926E+11,5.16956E+11,5.55314E+11
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66032E+11,1.91313E+11,2.20904E+11,2.43677E+11,2.49092E+11,2.76344E+11,2.93018E+11,3.12065E+11,3.43699E+11,4.01368E+11,4.44669E+11,5.16954E+11,5.99751E+11,6.34791E+11,5.30171E+11,5.95389E+11,6.39098E+11,6.42559E+11,6.62152E+11,7.14758E+11,7.62552E+11,8.11553E+11,8.80417E+11,9.40097E+11,9.81093E+11,9.36148E+11,1.06872E+12
Switzerland,,,,,,,,,,,59573108218,63280938883,67884749110,72297924924,71592578737,60602531765,68513840700,74852419622,83030615490,88721039691,95107276437,1.02162E+11,1.04392E+11,1.05459E+11,1.11681E+11,1.1846E+11,1.32029E+11,1.30196E+11,1.37557E+11,1.47464E+11,1.56159E+11,1.51147E+11,1.52973E+11,1.50922E+11,1.57708E+11,1.66957E+11,1.73503E+11,1.91283E+11,2.01107E+11,2.08445E+11,2.25217E+11,2.27617E+11,2.22751E+11,2.23634E+11,2.33475E+11,2.56384E+11,2.64159E+11,2.79539E+11,2.92526E+11,2.8337E+11,3.06267E+11,3.33867E+11,3.25972E+11,3.66804E+11,3.39996E+11,3.56169E+11,3.75085E+11,3.71796E+11,3.74266E+11,3.73433E+11,3.5649E+11,3.75283E+11
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,1741858559,1947280347,1800020205,1846045466,2042179598,1999067662,2721846079,2472113426,2696144947,3075378254,3106121986,3369159835,3475856208,3289638483,3401850005,2093519769,2181185045,2955865556,3471189484,4262443036,5067468267,5869304290,3810128950,3109960406,3510879996,3167495792,3418166415,4054279943,4572955532,5717951433,6050095066,6470723283,7881848862,8999604261,9910277313,12385967688,13851593472,15508837389,16555039921,15514972536,18449869351,21032382484,22378695816,24771672954,27885370598,33376458864,37221681174,43895715133,56702872965,43460451312,53877425592,64628941364,68174509168,69388492713,73804922973,73132214812,72587821909,75919651465,85860864405,88890530174,82605050549,1.1971E+11
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00326E+12,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7024906604,7836883535,8641986345,8494652747,8349329600,7744028783,7509518225,7127775737,8050449073,8699858330,8660470795,8692403862,8610273663,9901976742,11261783927,8981981391,11471841709,10343431863,10197533057,11618672296,11675005755,12955420199,14694966287,14875849040,16002086565,16988584060
Cameroon,336400779.5,330063966.3,329237468.4,295624973.3,308298490,342334625.3,348393621.5,323986109.2,375591748,373935637.9,411190763.2,499225295.2,494809619.2,449551167.2,450930053.7,475215374.7,526270182.2,581463411.9,631960126.3,703831179.4,697839419.7,1047051952,957972594.7,974569016.9,1233621985,1320915182,1544149854,1507090163,1199643818,1005301483,1106836988,1144469474,922442369.8,1246272585,1854180803,1964342843,2582728962,3164056922,2954127538,2943311101,3648083720,4067225076,4012211210,3447084542,3757192360,3930838476,4078588307,4682524517,5184910122,4836992122,5528818184,5953870186,6136523022,6870597369,7916593451,7907933380,7989445380,7893057568,8561597821,9533868543,7893431472,8485429087
"Congo, Dem. Rep.",312546244.1,357272258.1,320887874,324286553,407445842.5,418666326.1,494328271.5,385498698.1,496715967.3,573399654.1,681218945.2,812491608.9,920306412.5,1078795194,973706609.8,895822123.4,741926189.5,1047676418,797649615.1,809090745.9,1021926341,1061192283,885025906.6,1145514048,1702129114,1840962367,1806634968,2227248937,2539153413,2541842370,1918929631,1787176808,1103317306,716125548.7,535077523.5,730915856,690715558.2,532618428.7,888720618.6,1416734220,1605018009,1236186095,1743230112,3666482154,3590052725,4434829867,3913863178,5090527672,4738735912,4738735912,7064385740,9152883391,11630132047,12562530362,13650478983,12767278318,12293499052,13491283908,14130930016,17686273472,19816457305,28755237486
"Congo, Rep.",691334528.6,768984419.1,633723334.8,598655599,621199124.4,608674957.9,646983496.3,764036170.9,848101684.2,941743102.9,1044960180,1049215118,1053478254,1057733191,1061988128,1115195343,1067308850,1001328624,992818749.6,793830243.5,1121581848,1656826751,2410311415,1894635946,1834788077,1840526914,1438808345,1097757478,1106775650,1081360787,1135428826,1784815736,1033836963,1935351384,3377392839,2892135803,3009796928,3156414702,3144030720,3331839908,3480420023,3699398242,3873006313,4030861917,3943378170,4636672239,4688953192,7249030702,6456762216,6596830609,7135470299,6916110117,6894103508,6610574875,7664482204,9508100092,8649510073,5664992288,5952235091,6144205036,,
Colombia,2010592348,2094129026,2167121730,2163606997,2698216687,2211495205,3081430079,2446845858,3026674087,3405576316,4125721589,4956765075,4305392097,4464885291,4911327613,4371391936,4910480474,5389268108,6505874494,6556779854,7786363795,8167576404,8818333281,8018171866,7700725731,7191210050,7483242012,7883091681,8399538500,8162416556,8802776726,9103819168,12868043386,17638206815,21915797346,23507094766,24045567143,25534802571,24535604635,18480060345,19579702261,21290996262,21361054451,23106261971,25479762047,28705842037,33781554844,38463012744,43275402662,39533081105,43814448687,52677707482,57616288147,62527515327,67379658978,66651326832,64291268085,64946292890,68716697359,73763233115,58640767365,74784845440
Comoros,,,,,,,,,,,,,,,,,,,,,92403257.34,95974572.7,102101225.8,107023556,111422503.7,113963353.4,116091292.3,117992854.7,121163936.4,117310103.2,123282820.3,116630973.7,126580673,130385608.7,123505574.7,127964285.9,126311411.6,131402184,133087638.4,135648409.1,150363659.3,153871534.8,157448717.7,160761601.8,163847584.1,168496596.3,172956539,159568944.1,179515062.2,204826686,198681885.3,210404116.5,243437562.9,250984127.3,264537270.3,267288335.3,280813100.7,311088822.9,348767129.8,368655952.1,334524050.7,337501256.9
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921168263.5,918096619.2,853915730.6,924414404.7,967735871.4,891950135.5,835245882.7,927527165.4,944645439.9,1014204971,1180268718,1247719059,1257891479,974888305.3,1016766443
Costa Rica,606063481.2,600266829,603713487.1,672019982.5,753408111.9,969294237.6,1033762409,1090083935,1224738597,1378976544,1709307383,1835110401,1843022048,1965535074,2170689560,2011673292,2337147476,2923157674,3142490458,3234140228,3123142173,2300565901,1883833612,2181656199,2414462283,2559065254,3009089126,3538151133,3506034547,4086796425,4526950322,4391433995,5404143504,6171096822,6460293972,6676344779,6886080789,7918315067,9211228263,8927437173,8579508359,8580372663,9106323467,9520078942,9978139056,10671175233,11505256617,12665960224,13509350391,10978199567,13034026033,14424878112,15553620610,15815020817,16613090677,17360350890,18912093776,19860072545,20427267867,19957965797,17924302003,20828802237
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,4387647657,4764826769,4994578510,5164585959,5213043186,5715122938,6025121865,6544284628,6965157520,7032031630,6763271167,8036372573,8709768125,9134958880,9860759258,10735386508,9758614665,9590368538,9891795544,10225927663,9662690782,6074731695,3324969029,3144584910,3747270332,4178506458,5192872397,5096084205,5166280996,5291914097,5280195852,5081999777,4710959596,5282336685,5967853982,7505648208,9039949495,8939781040,9598932287,8165588183,11078247966,11192050147,10956558505,11622470278,11445569858,12605000000,11263035666,11082754983,10857404130,10546419952,9744170913,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2443240223,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,1394909856,1945426159,2481852508,2621242904,3061052093,3238183693,3319201023,3743913633,3950231646,4596861857,4388027950,3907458168,4463006623,5053780389,6068763393,6415981435,6542790693,7748995989,6323893157,6773263179,8018507061,8489859438,8578271241,8667001855,8919077052,9754836204,9783905383,9686353979,9638054803,10351563212,10455316206,11051523880,12113443357,13686213875,11588907137,12840045515,12507257272,12052666649,11503716104,12391694784,13390746699,14751794599,16861652094,17590663915,19057406960,18571839931,20287414871
