Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,,,,,,,,,,,56901517270,59464857078,66039566403,75366508996,78159203980,71683407728,80906923748,82638278672,84527060160,90440719487,90304736477,93367418108,95961926351,98482456713,1.04856E+11,1.05205E+11,1.08085E+11,1.13452E+11,1.24381E+11,1.3452E+11,1.40673E+11,1.44971E+11,1.50287E+11,1.49622E+11,1.62082E+11,1.70173E+11,1.7864E+11,1.95594E+11,2.03687E+11,2.13564E+11,2.4004E+11,2.40952E+11,2.49261E+11,2.53287E+11,2.68975E+11,2.83798E+11,2.99976E+11,3.16283E+11,3.22E+11,2.85694E+11,3.15518E+11,3.3013E+11,3.28523E+11,3.29681E+11,3.46814E+11,3.59721E+11,3.82031E+11,4.02932E+11,4.05351E+11,4.13398E+11,3.90831E+11,4.2853E+11
Benin,88037515.43,68934916.85,50663003.64,55646408.27,83054127.26,122924038.3,135382904.7,149502468.5,167774970.6,235051245.7,266612153.9,341362718.8,357312542.4,332269153.2,329212970.5,331375082.5,319523550,342107788.9,375198952.2,509883155.4,565183752.4,617134833.1,457270147.1,331709644.3,455111526.7,581031714.5,450940223.2,422877125.3,345895077.8,352656991.2,616946148.5,723640628.6,875446742,993600956.6,1017938916,1000047047,972220625,1064221200,1182195662,1345201298,1203033049,1260637051,1386999169,1411935277,1338386375,1472663481,1468317534,1868212352,2056764568,1956709499,2050588291,1851461999,2297584676,2819876645,3523229748,2815204774,3194730416,3418361545,3589279622,3898480192,2925224392,
Burkina Faso,,,,,,113861492.3,117660684.3,117660684.3,151816723.1,144222564.6,163206273.6,165287209.9,222280436.1,205184516.9,220377896.8,216580817.2,199484060.6,208983296.3,305128718.6,378447078.5,341028275.1,385901539.6,332054967.1,260260079,296155860.8,292949470.3,307757694.6,386021837.4,373670367.5,306012552.3,388347994,386743398.9,336974500.8,360084095.3,497635334.2,497138043.6,404126300.4,432739592.6,587141867.6,539153161.2,561637274.6,553730645.9,543329434.1,590999088.7,682953721.3,727621550.6,871545495.8,933250383.7,1010290806,1348748829,1931051251,2385055452,2389768805,2854634625,3041967314,3089098203,3169923735,3440797082,3963719335,3887351032,,
Bangladesh,803974740.2,711508755.9,859477984.8,900996004.7,934716754.6,886206154,1013221169,894003353.7,929765143.6,972513641,1074451024,777708055.4,599697722.8,1113910321,785972084.5,881660284.4,1100028708,1380033861,1274201404,1484501884,1498680109,1022594302,977030083.9,1067267898,1057186057,1140690771,1127580817,1149009180,1271719072,1384917119,1631244400,1580813694,1926151802,2241904251,2324369763,3038511612,3283883413,3754062580,4214594037,4309451451,4929933025,5664684803,5655389199,5559451992,10319082977,14756419406,18515810527,20918348607,22399495142,22405880001,22616838572,29252421055,32918410134,33725531476,34805136081,33820154153,34563098269,33926003309,35997497830,40121541590,33099311989,36141620726
Bulgaria,,,,,,,,,,,,,,,,,,,,,57001711245,60367648141,59156470817,62955373821,68780643845,77433712055,77941746730,85960848339,75002636109,64478250346,18469887890,10062421730,10636188959,10891127239,11192632113,14506168102,18851042847,20188888007,16682421220,13725765133,11370324756,11508465201,12527847994,13337459760,16606191340,18115081614,19503271367,23330328724,23908421560,21107412151,23439008728,26386718998,26922728406,29514557923,30436168102,32398958286,35190699955,37214928588,37861233847,39366023011,34615730560,38041974042
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13287664631,12961123401,14748486616,14899223742,15590809287,16326390989,16646072325,16721324838,16834874122,16893698995,17337993128,22606906857,27310059924,27128788537,26025274144,25805319149,25093953386,26019858439,26868525222,26970856259,26283551701,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2888784238,2909821738,2734521311,2702103460,2813871932,2790434141,2862498820,2965984490,3216444401,3388632169,3552336030,3736860997,3756338447,3756338447,3781712434,4224063764,4133661300,4214025215,4153949385,4062514194,3933478861,3983616084,4233869117,4538923300,4578289070,4328957718,4389400000,4125810355,4063213783,4524243032,4610581217,2536221656,3033052103
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942446386,2054801827,1948426813,2203605299,2588764382,2995927664,3558324464,3998902076,4044698230,3916238171,4460615795,4667767219,4672782197,5039899013,5249712697,5763281877,6303179228,7048278349,7544822104,7576862453,6371535856,9068990696
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23363619913,23106620621,15250368497,11834287284,11692275872,9119975090,9831332031,13164154035,12071529459,12916535940,14556936789,16462733306,17846528701,19380030089,21996437570,21402538158,23151653126,24448279314,24961716564,23006654984,24771080356,32301515220,35919280853,30675065556,32075707069,32749824187,33601306226,36106440839,37478555581,37853341137,36452548777,39915801742
Belize,,,,,,,,,,,,,,,,,,,,,110497275.4,165124904,120250068,114663274.9,159787297.6,148044885.3,170721143.3,199467340.3,215747205.5,237442405.9,259410114.3,253298020.8,327951975.2,337877848.4,360984130.5,342491700.3,360782329.4,408274003.7,429135293.8,478374754.3,527251403.6,553188522.8,606120930.9,686147554.7,725443139,800326048.6,986875405.6,853796752.4,888068243.8,801342829.3,913607383,939744628.6,997641319.1,1035082774,1020847844,1013850000,918033369.7,973717066.8,1043934747,1122705348,678312362.1,898360766.5
